Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
19498,1.21,Ideal,H,VVS2,61.3,57.0,8131,6.92,6.87,4.23
31230,0.31,Ideal,E,VS2,62.0,56.0,756,4.38,4.36,2.71
22312,1.21,Ideal,E,VS1,62.4,57.0,10351,6.75,6.83,4.24
279,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72
6647,0.79,Ideal,I,VVS2,61.7,56.0,4092,5.94,5.95,3.67
30712,0.33,Ideal,E,VS2,61.1,55.0,738,4.47,4.51,2.74
17533,1.0,Premium,F,VS1,59.2,60.0,7056,6.53,6.48,3.85
6353,0.9,Very Good,E,SI1,60.1,58.0,4034,6.25,6.29,3.77
18685,1.06,Ideal,F,VS2,61.4,56.0,7641,6.56,6.61,4.04
53430,0.7,Ideal,F,SI1,60.7,57.0,2671,5.78,5.82,3.52
40811,0.52,Ideal,G,SI2,61.5,56.0,1170,5.15,5.19,3.18
6276,1.0,Very Good,H,SI2,63.0,61.0,4015,6.31,6.35,3.99
13839,1.09,Premium,E,SI1,62.5,57.0,5640,6.61,6.55,4.11
46602,0.54,Ideal,D,SI1,62.1,56.0,1786,5.25,5.21,3.25
28653,0.3,Premium,E,SI1,60.0,60.0,675,4.38,4.36,2.62
39098,0.41,Premium,I,VVS2,62.9,58.0,1061,4.74,4.71,2.97
42607,0.32,Very Good,I,VS1,59.8,60.0,505,4.44,4.46,2.66
375,0.81,Premium,D,SI2,59.2,57.0,2809,6.15,6.05,3.61
40918,0.42,Ideal,G,VVS1,60.6,56.0,1179,4.86,4.88,2.95
2088,0.79,Premium,D,SI1,61.4,59.0,3112,5.89,5.96,3.64
45643,0.25,Ideal,G,VVS2,62.1,57.0,525,4.01,4.07,2.5
27180,2.51,Premium,J,SI1,59.6,60.0,17452,8.84,8.79,5.25
19305,1.13,Premium,G,VVS2,61.4,58.0,8019,6.73,6.68,4.12
9441,1.01,Premium,I,VS2,62.5,58.0,4592,6.39,6.44,4.01
28006,0.3,Premium,E,VS2,60.0,60.0,658,4.36,4.4,2.63
27459,2.03,Very Good,E,SI2,58.8,59.0,18115,8.23,8.28,4.85
30402,0.32,Premium,H,VVS1,62.5,58.0,730,4.33,4.37,2.72
19998,1.05,Very Good,F,VVS2,61.3,59.0,8537,6.48,6.56,4.0
15909,1.04,Good,G,VS1,63.8,57.0,6360,6.42,6.37,4.08
32885,0.4,Premium,J,VS1,63.0,58.0,810,4.7,4.66,2.95
15302,1.29,Good,D,SI2,57.9,59.0,6140,7.22,7.18,4.17
31147,0.41,Good,H,VS2,63.4,58.0,755,4.77,4.66,2.99
22986,2.0,Good,J,SI2,61.5,61.0,11036,7.97,8.06,4.93
28034,0.3,Ideal,E,VS2,61.7,55.0,658,4.3,4.32,2.66
4901,0.9,Ideal,G,SI2,61.5,57.0,3722,6.07,6.19,3.77
6515,0.9,Premium,H,VS1,61.5,59.0,4064,6.19,6.13,3.79
9057,0.34,Ideal,I,SI1,61.9,57.0,589,4.48,4.44,2.76
41627,0.24,Ideal,H,IF,62.5,54.0,504,3.97,4.0,2.49
1147,0.72,Very Good,E,VS2,63.0,57.0,2923,5.69,5.73,3.6
46497,0.5,Very Good,F,VVS2,60.4,61.0,1778,5.12,5.14,3.1
16930,1.01,Good,G,VS1,63.8,57.0,6759,6.35,6.38,4.06
29995,0.43,Ideal,H,SI1,62.5,57.0,716,4.79,4.84,3.01
43717,0.51,Very Good,H,VS1,63.4,57.0,1437,5.09,5.06,3.22
9881,0.95,Premium,F,SI1,62.9,59.0,4682,6.24,6.13,3.89
13598,1.18,Very Good,G,SI2,62.4,56.0,5562,6.8,6.83,4.25
37869,0.39,Ideal,G,VVS1,58.8,62.0,1004,4.77,4.79,2.81
28520,0.34,Very Good,H,VVS2,63.1,57.0,674,4.41,4.49,2.81
20476,1.31,Premium,G,VS2,60.3,59.0,8818,7.08,7.12,4.28
49809,0.75,Ideal,H,SI1,62.1,57.0,2165,5.82,5.78,3.6
14986,1.0,Good,F,VS2,63.7,59.0,6037,6.32,6.27,4.01
20569,1.51,Fair,I,VS2,64.8,60.0,8879,7.18,7.1,4.63
36163,0.38,Ideal,G,VVS2,62.2,54.3,929,4.63,4.66,2.89
36320,0.32,Ideal,G,VVS2,61.8,55.0,936,4.43,4.41,2.73
49794,0.51,Ideal,F,VVS1,61.7,57.0,2163,5.12,5.15,3.17
32366,0.32,Ideal,E,VVS2,61.6,55.0,790,4.42,4.45,2.73
33060,0.3,Ideal,F,VVS1,62.2,56.0,814,4.28,4.3,2.67
14612,1.01,Very Good,H,VS2,60.2,60.0,5897,6.46,6.5,3.9
48587,0.54,Ideal,D,VS2,61.8,56.0,1993,5.24,5.21,3.23
25851,3.0,Good,J,SI2,59.3,64.0,14918,9.32,9.19,5.5
48732,0.52,Premium,G,VVS2,61.2,59.0,2012,5.16,5.14,3.15
30425,0.32,Ideal,G,VVS2,62.6,57.0,730,4.34,4.38,2.73
10369,1.06,Premium,F,SI1,61.9,58.0,4774,6.53,6.58,4.06
43860,0.53,Very Good,G,VS2,60.1,59.0,1449,5.22,5.26,3.15
12574,1.2,Good,I,SI1,63.5,60.7,5280,6.71,6.75,4.27
38425,0.51,Premium,G,SI2,62.5,56.0,1026,5.12,5.09,3.19
49632,0.32,Premium,J,VS1,61.7,58.0,540,4.4,4.38,2.71
10701,0.72,Very Good,E,VVS1,61.2,57.0,4847,5.73,5.78,3.53
